id,code,product_name,generic_name,quantity,unit quantity,packaging,brands,categories,origins,manufacturing_places,manufacturing_places_tags,labels,stores,countries,ingredients_text,allergens_tags,traces,additives_n,additives_tags,ingredients_from_palm_oil_n,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,main_category,,image_url,image_small_url,image_ingredients_url,image_nutrition_url,energy_kcal_100g,energy_100g,energy_from_fat_100g,fat_100g,saturated_fat_100g,monounsaturated_fat_100g,polyunsaturated_fat_100g,omega_3_fat_100g,omega_6_fat_100g,omega_9_fat_100g,trans_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,alcohol_100g,vitamin_a_100g,vitamin_d_100g,vitamin_e_100g,vitamin_c_100g,vitamin_b1_100g,vitamin_b2_100g,vitamin_pp_100g,vitamin_b6_100g,vitamin_b9_100g,vitamin_b12_100g,biotin_100g,pantothenic_acid_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,selenium_100g,iodine_100g,caffeine_100g,fruits-vegetables_nuts_estimate_100g,cocoa_100g,carbon_footprint_from_meat_or_fish_100g,Price
1,27052723,Optifit cholest drink,,600,g,"6 contenants,PET",Aldi,"Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons édulcorées, Boissons fermentées, Boissons lactées fermentées, Yaourts, Yaourts à boire",Austria,"AT2500,Baden,Austria","at2500,baden,austria","Contient une source de phénylalanine,Point Vert",Aldi,Belgique,"_lait_ fermenté 0,1 % matière grasse avec lactobacilus acidaphilus et bifidobacterium, eau, esters de stérol végétal (équivalent à 1,6 % stérols végétaux) 2,7 %, oligofructose, jus et purée de fruits à base de concentré (banane, mangue, kiwi) 1 % amidon modifié, édulcorants (aspartame', acésulfame-K), acidifiant (acide citrique), correcteur d'acidité (citrates de sodium), colorant (caroténoides), arôme. contient une source de phénylalanine. Le produit n'est pas destine aux personnes qui n'ont pas besoin de contrôler leur cholestérolémie. Les femmes enceintes ou qui allaitent ainsi que les enfants de moins de 5 ans ont des besoins nutritionnels spécifiques et des produits qui réduisent le cholestérol pourraient ne pas leur convenir. Si vous prenez des médicaments qui réduisent le cholestérol, demandez conseil à votre médecin. Consommez OPTIFIT CHOLEST DRINK dans le cadre d'un régime équilibré incluant fruits et légumes en vue de maintenir les niveaux de caroténoides. 1 bouteille contient 1,6 g de stérols végétaux. La consommation d'une quantité de stérols végétaux/ stanols végétaux ajoutés supérieure à 3 g par jour doit être évitée.",en:milk,,5,"en:e160,en:e330,en:e331,en:e950,en:e951",0,a,4,Crèmerie ,Milk and yogurt,en:drinkable-yogurts,1,https://static.openfoodfacts.org/images/products/27052723/front_fr.81.400.jpg,https://static.openfoodfacts.org/images/products/27052723/front_fr.81.200.jpg,https://static.openfoodfacts.org/images/products/27052723/ingredients_fr.18.400.jpg,https://static.openfoodfacts.org/images/products/27052723/nutrition_fr.83.400.jpg,38,159,,1.2,0.1,,,,,,,3.6,3.5,0.7,2.9,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,8719200013063,Margarine,,225,g,barquette,becel,"Produits laitiers, Produits à tartiner, Matières grasses, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, Produits laitiers à tartiner, Beurres",,,,"No preservatives, en:palm-oil-free",colruyt,"Belgique,France","Huiles végétales 70% (tournesol 33%,allanbladia, in 14%, coco, colza 3%), eau, sel de mer 0,5%, émulsifiant (lécthine de tournesol), addifiant (adde duique), ardme naturel, vitamine D, colorant (carotène),",,,1,en:e160a,0,d,4,Epicerie salée,Fats,en:butters,2,https://static.openfoodfacts.org/images/products/871/920/001/3063/front_fr.24.400.jpg,https://static.openfoodfacts.org/images/products/871/920/001/3063/front_fr.24.200.jpg,https://static.openfoodfacts.org/images/products/871/920/001/3063/ingredients_fr.10.400.jpg,https://static.openfoodfacts.org/images/products/871/920/001/3063/nutrition_fr.26.400.jpg,620,2594,,70,15,,,,,,,0.5,0.5,,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,8012666501632,Fusillo bucato,,500,g,"sachet,plastique",Terre d'Italia,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Cereales y derivados, Pastas alimenticias, Pastas de trigo, Pasta seca, Pasta de trigo duro, Hélices",,Italie,italie,,Carrefour,"Belgium,Spain",Sémola de trigo duro,"en:gluten,en:soybeans",en:soybeans,0,,0,a,1,Epicerie salée,Cereals,en:fusilli,3,https://static.openfoodfacts.org/images/products/801/266/650/1632/front_fr.12.400.jpg,https://static.openfoodfacts.org/images/products/801/266/650/1632/front_fr.12.200.jpg,https://static.openfoodfacts.org/images/products/801/266/650/1632/ingredients_fr.19.400.jpg,https://static.openfoodfacts.org/images/products/801/266/650/1632/nutrition_fr.18.400.jpg,356,1511,,1.3,0.2,,,,,,,73,3.3,2.7,12,0.01,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,5400141063516,Double crème,,200,g,,Everyday,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages",,France,france,,Colruyt,en:BE,"Fromage à pâte molle,  Lait de vache pasteurisé,  sel,  ferments lactiques,  présure animale  Contient du lait",en:milk,en:milk,0,,0,d,3,Crèmerie ,Cheese,en:cheeses,4,https://static.openfoodfacts.org/images/products/540/014/106/3516/front_fr.12.400.jpg,https://static.openfoodfacts.org/images/products/540/014/106/3516/front_fr.12.200.jpg,https://static.openfoodfacts.org/images/products/540/014/106/3516/ingredients_fr.14.400.jpg,,360,1506,,32,22,,,,,,,1,1,0,17,1.4,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,14077713,galette 4 céréales bio,,130,g,papier,biorg,Céréales soufflées,Europe,belgique,belgique,bio,tous,Belgique,,,,,,,,,Epicerie sucrée,Breakfast cereals,en:puffed-cereals,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,5410001012004,Nestlé Lait Concentré,Lait concentré sucré,397,g,conserve,Nestlé,"Produits laitiers, Laits concentrés",?,,,,"Carrefour,Delhaize",Belgique,"Lait entier, sucre.",en:milk,en:milk,0,,0,d,3,Crèmerie ,unknown,en:evaporated-milks,6,https://static.openfoodfacts.org/images/products/541/000/101/2004/front_fr.25.400.jpg,https://static.openfoodfacts.org/images/products/541/000/101/2004/front_fr.25.200.jpg,https://static.openfoodfacts.org/images/products/541/000/101/2004/ingredients_fr.20.400.jpg,https://static.openfoodfacts.org/images/products/541/000/101/2004/nutrition_fr.13.400.jpg,248,1038,,6.2,3.8,,,,,,,42.3,42.3,0,5.8,0.2,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,5400141117394,Huile de mais,,1000,ml,Bouteille en plastique,Boni,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Matières grasses, Matières grasses végétales, Huiles, Huiles de céréales, Huiles de maïs",,,,,Colruyt,Belgique,Huile de mais 100 % huile de mais.,,,0,,0,d,,Epicerie salée,Fats,en:corn-oils,7,https://static.openfoodfacts.org/images/products/540/014/111/7394/front_fr.21.400.jpg,https://static.openfoodfacts.org/images/products/540/014/111/7394/front_fr.21.200.jpg,https://static.openfoodfacts.org/images/products/540/014/111/7394/ingredients_fr.13.400.jpg,https://static.openfoodfacts.org/images/products/540/014/111/7394/nutrition_fr.23.400.jpg,900,3700,,100,13,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,3116430211316,Delacre gateau,Biscuits au chocolat noir,500,g,"Plastique, wrapper",Delacre,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",,Belgique,belgique,Fabriqué en Belgique,,"Belgique, France","Farine de BLE (75%) - sucre - graisse végétale (palme, colza) - dextrose - poudres à lever: carbonates de sodium, carbonates d'ammonium - sel - LACTOSE et protéines de LAIT - arôme - agent de traitement de la farine: disulfite de sodium","en:eggs,en:gluten,en:milk,en:nuts,en:soybeans,en:sulphur-dioxide-and-sulphites",,3,"en:e223,en:e500,en:e503",1,d,4,Epicerie sucrée,Biscuits and cakes,en:biscuits,8,https://static.openfoodfacts.org/images/products/311/643/021/1316/front_fr.26.400.jpg,https://static.openfoodfacts.org/images/products/311/643/021/1316/front_fr.26.200.jpg,https://static.openfoodfacts.org/images/products/311/643/021/1316/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/311/643/021/1316/nutrition_fr.21.400.jpg,410,1729,,8.5,3.9,,,,,,,75,22.3,,7,0.82,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,8000500150245,Nutella,NUTELLA : Pâte à tartiner aux noisettes,350,g,Bocal,Nutella,"Produits à tartiner, Petit-déjeuners, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner aux noisettes, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes et au cacao",,,,,,"Belgique,France","Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines [ SOJA ] vanilline","en:milk,en:nuts,en:soybeans","en:milk,en:nuts,en:soybeans",1,"en:e322,en:e322i",1,e,4,Epicerie sucrée,Sweets,en:cocoa-and-hazelnuts-spreads,9,https://static.openfoodfacts.org/images/products/800/050/015/0245/front_fr.29.400.jpg,https://static.openfoodfacts.org/images/products/800/050/015/0245/front_fr.29.200.jpg,https://static.openfoodfacts.org/images/products/800/050/015/0245/ingredients_fr.22.400.jpg,https://static.openfoodfacts.org/images/products/800/050/015/0245/nutrition_fr.11.400.jpg,539,2252,,30.9,10.6,,,,,,,57.5,56.3,,6.3,0.107,0.0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,5400141417234,Room Crème,,200,ml,brique,Everyday,"Produits laitiers, Crèmes",,,,,Colruyt,België,"Crème, stabilisant (E407),",en:milk,en:milk,1,en:e407,0,d,4,Crèmerie ,Milk and yogurt,en:creams,12,https://static.openfoodfacts.org/images/products/540/014/141/7234/front_fr.3.400.jpg,https://static.openfoodfacts.org/images/products/540/014/141/7234/front_fr.3.200.jpg,https://static.openfoodfacts.org/images/products/540/014/141/7234/ingredients_fr.8.400.jpg,https://static.openfoodfacts.org/images/products/540/014/141/7234/nutrition_fr.23.400.jpg,293,1226,,30,20,,,,,,,3.2,3.2,0,2.5,0.1,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
